速単夏休み範囲【日⇒英】,,,
id,english,japanese,pos
1,prior,〈時間や順序〉前の,adj
2,mobile,移動式の；流動的な,adj
3,fundamental,基本的な；必須の,adj
4,concrete,具体的な　,adj
5,steep,急勾配の,adj
6,complex,複雑な，複合的な,adj
7,intellectual,知的な,adj
8,gentle,優しい；穏やかな,adj
9,specific,特定の；明確な,adj
10,fatal,致命的な,adj
11,unreliable,信頼できない,adj
12,prime,最も重要な,adj
13,considerable,かなりの,adj
14,grand,壮大な；偉大な,adj
15,ideal,理想的,adj
16,relevant,関連がある；適切な,adj
17,political,政治（上）の,adj
18,unpredictable,予測できない,adj
19,emotional,感情的な,adj
20,inherent,生まれつき持っている,adj
21,generous,寛大な；気前のよい,adj
22,relative,相対的な,adj
23,overall,全体的な,adj
24,guilty,《～の》罪を犯した,adj
25,polite,礼儀正しい,adj
26,odd,奇妙な；奇数の,adj
27,grateful,感謝している,adj
28,domestic,国内の；家庭の,adj
29,complicated,複雑な,adj
30,manual,手〔体〕を使う,adj
31,innate,先天的な,adj
32,literary,文学の,adj
33,elaborate,手の込んだ；精巧な,adj
34,ultimate,究極の；最終の,adj
35,ridiculous,ばかげた,adj
36,radical,根本的な；急進的な,adj
37,unstable,不安定な,adj
38,peculiar,特有の；奇妙な,adj
39,overweight,太りすぎの,adj
40,national,全国的な；国民の,adj
41,distinct,全く異なる；明瞭な,adj
42,invisible,《～に》見えない,adj
43,faint,かすかな,adj
44,profitable,利益になる,adj
45,sacred,神聖な,adj
46,subtle,微妙な；かすかな,adj
47,silly,愚かな,adj
48,unusual,普通でない,adj
49,recent,最近の,adj
50,alien,異質な,adj
51,crave,を切望する,v
52,impose,を課す,v
53,assume,と思い込む,v
54,gain,を手に入れる,v
55,depress,を落胆させる,v
56,exist,存在する；生存する,v
57,dedicate,をささげる,v
58,concentrate,集中する,v
59,offer,を提供する,v
60,stimulate,を刺激する,v
61,spare,〈時間など〉を割く,v
62,extend,を延長する,v
63,react,《～に》反応する,v
64,distribute,を分配する,v
65,eliminate,を取り除く,v
66,handle,を扱う；を論じる,v
67,drown,おぼれ死ぬ,v
68,operate,手術する,v
69,bear,に耐える,v
70,acquire,を習得する,v
71,illustrate,に挿絵を入れる,v
72,discourage,を落胆させる,v
73,distinguish,区別する,v
74,force,を強いる,v
75,succeed,成功する；跡を継ぐ,v
76,examine,を調べる,v
77,translate,を翻訳する,v
78,exhaust,を疲れ果てさせる,v
79,fit,合う,v
80,reinforce,"を強化,補強する",v
81,stir,をかき混ぜる,v
82,save,を節約する,v
83,involve,を巻き込む ,v
84,adjust,を適合させる,v
85,suppress,を鎮圧する,v
86,wonder,…かなと思う；驚く,v
87,capture,を捕らえる,v
88,swallow,飲み込む,v
89,lie,横たわっている,v
90,express,を表現する,v
91,enhance,を向上させる,v
92,apply,当てはまる；申し込む,v
93,appreciate,のよさを認める,v
94,reproduce,を繁殖させる,v
95,judge,を判断する；を裁く,v
96,manage,<to do>どうにか…する,v
97,disappoint,を失望させる,v
98,run,を経営する,v
99,envy,をねたむ,v
100,speculate,推測する；投機する,v
101,alter,を変える；変わる,v
102,vanish,（突然）消える,v
103,emphasize,を強調する,v
104,predict,を予測〔予言〕する,v
105,emerge,現れる,v
106,leap,跳ぶ,v
107,determine,を決定する,v
108,extract,抽出する,v
109,adapt,適応する,v
110,drive,を駆り立てる,v
111,chew,を噛む,v
112,serve,仕える,v
113,expand,を拡大する；広がる,v
114,deserve,に値する,v
115,encourage,を促す,v
116,remove,を取り除く；を移す,v
117,distract,〈注意〉をそらす,v
118,grin,にやりとする,v
119,interpret,"を解釈,通訳する",v
120,violate,に違反する,v
121,count,重要である,v
122,mention,について述べる,v
123,clarify,を明らかにする,v
124,urge,をせき立てる,v
125,comprehend,を理解する,v
126,literally,文字通りに,adv
127,respectively,それぞれ,adv
128,virtually,ほとんど；実質的には,adv
129,instinctively,本能的に,adv
130,eventually,結局，ついに,adv
131,gradually,徐々に,adv
132,likewise,同様に；その上,adv
133,lately,最近（は），近頃,adv
134,ahead,前方へ；事前に,adv
135,furthermore,さらに,adv
136,absolutely,まったく；絶対に,adv
137,value,価値；重要性,n
138,venture,冒険（的事業）,n
139,literacy,読み書きの能力,n
140,likelihood,可能性,n
141,index,索引；指標,n
142,justice,正義；公正；裁判官,n
143,complaint,不平；苦情,n
144,boundary,境界（線）,n
145,capital,資本（金）；首都,n
146,trade,貿易；交換,n
147,saying,ことわざ,n
148,graduation,卒業（式）,n
149,quality,質；特性,n
150,professor,教授,n
151,architecture,建築；建築様式,n
152,confidence,自信；信頼,n
153,possession,所有（物）,n
154,tail,しっぽ,n
155,parliament,議会；〈英〉国会,n
156,esteem,尊重,n
157,theft,窃盗（罪）,n
158,monopoly,独占；独占企業,n
159,client,依頼人,n
160,murder,殺人（事件）,n
161,obesity,（病的な）肥満,n
162,wisdom,知恵,n
163,fragment,破片,n
164,sort,種類,n
165,welfare,福祉；幸福,n
166,treaty,条約,n
167,grocery,食料雑貨(店),n
168,evidence,証拠,n
169,tongue,舌；言語；話し方,n
170,portion,部分；分け前,n
171,ground,根拠；地面,n
172,bond,きずな；債券,n
173,border,境界；国境,n
174,council,〈地方〉議会；会議,n
175,material,題材；原料；物質,n
176,appliance,器具,n
177,production,生産（高）,n
178,prefecture,県，都道府県,n
179,theory,理論；学説,n
180,undergraduate,大学生；学部生,n
181,figure,数字；図；姿；像,n
182,effect,影響；結果,n
183,sibling,きょうだい,n
184,alternative,代わり；選択肢,n
185,stranger,知らない人,n
186,factor,要因；因子,n
187,strategy,戦略，方策,n
188,attention,注意；注目；世話,n
189,contract,契約（書）,n
190,law,法（律）；法則,n
191,foundation,基礎；設立,n
192,passage,〈本などの〉一節,n
193,legislation,法律；立法,n
194,discipline,学問分野；規律,n
195,violence,暴力,n
196,construction,建設；建築物,n
197,individual,個人,n
198,criminal,犯罪者,n
199,sequence,連続；順序,n
200,substance,物質；本質；重要性,n
201,stock,株式；蓄え；在庫,n
202,benefit,利益；恩恵,n
203,facility,施設；機能；才能,n
204,fatigue,疲労,n
205,resident,住民；滞在者,n
206,colleague,同僚,n
207,frontier,未開拓分野；最先端,n
208,manufacturer,製造業者,n
209,intelligence,知能,n
210,prediction,予言〔予測〕,n
211,court,法廷；裁判所,n
212,criterion,〈価値判断の〉基準　,n
213,philosophy,哲学；基本理念,n
214,hypothesis,仮説,n
215,fate,運命,n
216,infrastructure,社会基盤施設,n
217,bill,請求書；紙幣；法案,n
218,recession,（一時的な）不況,n
219,instruction,指示；使用説明書,n
220,destiny,運命,n
221,stuff,〈漠然とした〉物,n
222,impulse,衝動；刺激,n
223,desire,願望，欲望,n
224,chore,雑用；退屈な仕事,n
225,civilization,文明（化）,n
226,emergency,緊急事態,n
227,fashion,流行；やり方；流儀,n
228,remark,発言,n
229,journal,（定期刊行）雑誌,n
230,participant,参加者,n
231,detail,詳細；細部,n
232,preference,好み,n
